angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.21,,,"[422, 143, 239, 285]",,,0.0,,,0.11,,,0.0,,,0.39,,,0.28,,,0.0,,
0.23,,,"[419, 143, 240, 284]",,,0.0,,,0.13,,,0.0,,,0.37,,,0.26,,,0.0,,
0.19,,,"[417, 146, 239, 284]",,,0.0,,,0.14,,,0.0,,,0.37,,,0.3,,,0.0,,
0.11,,,"[409, 149, 240, 291]",,,0.0,,,0.05,,,0.0,,,0.71,,,0.13,,,0.0,,
0.22,,,"[401, 152, 241, 284]",,,0.0,,,0.04,,,0.01,,,0.62,,,0.12,,,0.0,,
0.21,,,"[404, 153, 232, 283]",,,0.0,,,0.07,,,0.0,,,0.6,,,0.12,,,0.0,,
0.3,,,"[398, 154, 232, 286]",,,0.0,,,0.06,,,0.01,,,0.51,,,0.13,,,0.0,,
0.28,,,"[397, 161, 232, 283]",,,0.0,,,0.12,,,0.01,,,0.47,,,0.12,,,0.0,,
0.31,,,"[393, 160, 235, 286]",,,0.0,,,0.09,,,0.01,,,0.42,,,0.17,,,0.0,,
0.35,,,"[386, 158, 238, 286]",,,0.0,,,0.11,,,0.01,,,0.28,,,0.25,,,0.01,,
0.29,,,"[373, 152, 245, 307]",,,0.0,,,0.03,,,0.02,,,0.3,,,0.36,,,0.0,,
0.19,,,"[367, 153, 246, 302]",,,0.0,,,0.05,,,0.03,,,0.37,,,0.34,,,0.01,,
0.12,,,"[353, 153, 249, 287]",,,0.0,,,0.14,,,0.03,,,0.35,,,0.34,,,0.01,,
0.18,,,"[348, 154, 248, 284]",,,0.0,,,0.13,,,0.02,,,0.26,,,0.4,,,0.02,,
0.09,,,"[344, 153, 241, 277]",,,0.0,,,0.18,,,0.03,,,0.3,,,0.39,,,0.01,,
0.21,,,"[344, 166, 236, 262]",,,0.0,,,0.19,,,0.04,,,0.23,,,0.32,,,0.01,,
0.07,,,"[328, 153, 239, 265]",,,0.0,,,0.19,,,0.11,,,0.27,,,0.35,,,0.01,,
0.11,,,"[327, 160, 240, 264]",,,0.0,,,0.16,,,0.06,,,0.35,,,0.29,,,0.03,,
0.07,,,"[322, 160, 239, 263]",,,0.0,,,0.13,,,0.12,,,0.33,,,0.3,,,0.04,,
0.09,,,"[327, 173, 236, 255]",,,0.0,,,0.25,,,0.03,,,0.33,,,0.25,,,0.04,,
0.05,,,"[325, 171, 239, 258]",,,0.0,,,0.27,,,0.06,,,0.35,,,0.23,,,0.04,,
0.04,,,"[325, 170, 241, 260]",,,0.0,,,0.23,,,0.08,,,0.36,,,0.26,,,0.03,,
0.03,,,"[324, 156, 241, 265]",,,0.0,,,0.1,,,0.29,,,0.44,,,0.09,,,0.05,,
0.02,,,"[329, 155, 241, 267]",,,0.0,,,0.1,,,0.26,,,0.48,,,0.1,,,0.03,,
0.03,,,"[333, 155, 239, 261]",,,0.0,,,0.11,,,0.16,,,0.46,,,0.17,,,0.08,,
0.06,,,"[333, 152, 251, 271]",,,0.0,,,0.1,,,0.13,,,0.54,,,0.14,,,0.04,,
0.02,,,"[335, 152, 241, 260]",,,0.0,,,0.1,,,0.09,,,0.57,,,0.18,,,0.05,,
0.02,,,"[336, 149, 250, 269]",,,0.0,,,0.15,,,0.1,,,0.57,,,0.12,,,0.04,,
0.01,,,"[340, 153, 239, 261]",,,0.0,,,0.18,,,0.17,,,0.46,,,0.13,,,0.04,,
0.03,,,"[335, 150, 249, 270]",,,0.0,,,0.18,,,0.1,,,0.5,,,0.12,,,0.07,,
0.11,,,"[335, 165, 249, 265]",,,0.0,,,0.35,,,0.03,,,0.18,,,0.19,,,0.13,,
0.12,,,"[334, 167, 248, 263]",,,0.0,,,0.37,,,0.03,,,0.2,,,0.18,,,0.11,,
0.12,,,"[335, 168, 245, 260]",,,0.0,,,0.43,,,0.02,,,0.16,,,0.11,,,0.16,,
0.14,,,"[339, 176, 245, 257]",,,0.0,,,0.58,,,0.01,,,0.09,,,0.07,,,0.11,,
0.13,,,"[338, 178, 243, 262]",,,0.0,,,0.63,,,0.0,,,0.06,,,0.11,,,0.05,,
0.06,,,"[337, 156, 239, 261]",,,0.0,,,0.31,,,0.04,,,0.14,,,0.41,,,0.05,,
0.04,,,"[339, 159, 236, 258]",,,0.0,,,0.21,,,0.02,,,0.1,,,0.59,,,0.04,,
0.03,,,"[340, 176, 248, 263]",,,0.0,,,0.61,,,0.01,,,0.04,,,0.31,,,0.01,,
0.05,,,"[337, 171, 252, 264]",,,0.0,,,0.58,,,0.01,,,0.09,,,0.25,,,0.02,,
0.07,,,"[342, 154, 243, 271]",,,0.0,,,0.16,,,0.12,,,0.25,,,0.37,,,0.02,,
0.04,,,"[340, 151, 244, 271]",,,0.0,,,0.12,,,0.1,,,0.32,,,0.39,,,0.04,,
0.02,,,"[342, 156, 234, 261]",,,0.0,,,0.15,,,0.24,,,0.28,,,0.28,,,0.03,,
0.13,,,"[347, 167, 236, 258]",,,0.0,,,0.25,,,0.12,,,0.23,,,0.24,,,0.03,,
0.07,,,"[349, 159, 240, 271]",,,0.0,,,0.16,,,0.08,,,0.49,,,0.18,,,0.02,,
0.05,,,"[348, 157, 240, 267]",,,0.0,,,0.1,,,0.25,,,0.37,,,0.2,,,0.03,,
0.07,,,"[348, 156, 239, 270]",,,0.0,,,0.11,,,0.13,,,0.44,,,0.23,,,0.02,,
0.07,,,"[350, 156, 238, 269]",,,0.0,,,0.07,,,0.16,,,0.49,,,0.2,,,0.01,,
0.37,,,"[352, 165, 233, 269]",,,0.0,,,0.21,,,0.08,,,0.2,,,0.12,,,0.02,,
0.15,,,"[351, 156, 245, 279]",,,0.0,,,0.29,,,0.06,,,0.3,,,0.19,,,0.02,,
0.16,,,"[352, 157, 243, 278]",,,0.0,,,0.28,,,0.05,,,0.32,,,0.16,,,0.02,,
0.22,,,"[350, 154, 244, 279]",,,0.0,,,0.1,,,0.04,,,0.43,,,0.19,,,0.02,,
0.17,,,"[351, 153, 245, 280]",,,0.0,,,0.1,,,0.05,,,0.43,,,0.24,,,0.02,,
0.18,,,"[354, 151, 242, 281]",,,0.0,,,0.17,,,0.05,,,0.37,,,0.2,,,0.03,,
0.11,,,"[355, 152, 241, 281]",,,0.0,,,0.17,,,0.06,,,0.37,,,0.28,,,0.01,,
