box,angry,disgust,fear,happy,sad,surprise,neutral
"[379, 146, 244, 288]",0.1,0.0,0.06,0.0,0.14,0.0,0.69
"[379, 146, 245, 287]",0.12,0.0,0.07,0.0,0.14,0.0,0.66
"[378, 143, 246, 292]",0.22,0.0,0.08,0.0,0.14,0.01,0.54
"[381, 142, 245, 295]",0.14,0.0,0.14,0.0,0.21,0.02,0.49
"[386, 141, 244, 297]",0.18,0.0,0.22,0.0,0.19,0.03,0.38
"[392, 139, 245, 296]",0.19,0.0,0.22,0.01,0.2,0.03,0.35
"[401, 147, 227, 284]",0.17,0.0,0.14,0.01,0.2,0.02,0.46
"[400, 136, 242, 291]",0.11,0.0,0.07,0.0,0.11,0.01,0.7
"[406, 138, 241, 286]",0.12,0.0,0.05,0.0,0.11,0.0,0.71
"[411, 136, 239, 285]",0.11,0.0,0.07,0.0,0.11,0.01,0.7
"[421, 143, 228, 279]",0.09,0.0,0.05,0.0,0.09,0.0,0.76
"[424, 135, 235, 279]",0.09,0.0,0.08,0.0,0.15,0.0,0.68
"[426, 140, 238, 278]",0.11,0.0,0.07,0.0,0.08,0.0,0.73
"[430, 141, 229, 275]",0.12,0.0,0.13,0.0,0.2,0.0,0.55
"[433, 142, 229, 278]",0.14,0.0,0.11,0.0,0.19,0.0,0.55
"[434, 142, 228, 280]",0.11,0.0,0.06,0.0,0.17,0.0,0.66
"[576, 154, 56, 73]",0.15,0.0,0.06,0.2,0.21,0.0,0.39
"[576, 154, 56, 73]",0.15,0.0,0.06,0.2,0.21,0.0,0.39
"[576, 154, 56, 73]",0.15,0.0,0.06,0.2,0.21,0.0,0.38
"[576, 154, 56, 73]",0.15,0.0,0.06,0.2,0.21,0.0,0.38
"[576, 154, 56, 73]",0.15,0.0,0.06,0.2,0.2,0.0,0.38
"[576, 153, 56, 74]",0.11,0.0,0.02,0.23,0.14,0.0,0.49
"[576, 153, 56, 74]",0.11,0.0,0.02,0.25,0.14,0.0,0.47
"[576, 153, 56, 74]",0.1,0.0,0.02,0.28,0.14,0.0,0.45
"[576, 152, 57, 74]",0.09,0.0,0.03,0.33,0.13,0.0,0.42
"[576, 152, 57, 74]",0.09,0.0,0.03,0.35,0.15,0.0,0.38
"[576, 153, 56, 74]",0.12,0.0,0.03,0.29,0.15,0.0,0.4
"[576, 153, 55, 74]",0.12,0.0,0.03,0.28,0.14,0.0,0.43
"[576, 152, 57, 75]",0.15,0.0,0.04,0.26,0.15,0.0,0.39
"[575, 153, 56, 75]",0.12,0.0,0.03,0.22,0.15,0.0,0.49
"[576, 152, 56, 75]",0.15,0.0,0.04,0.25,0.14,0.0,0.42
"[575, 153, 57, 75]",0.11,0.0,0.02,0.21,0.13,0.0,0.52
"[576, 152, 57, 75]",0.13,0.0,0.04,0.29,0.16,0.0,0.39
"[575, 151, 57, 76]",0.11,0.0,0.02,0.23,0.14,0.0,0.49
"[575, 151, 57, 76]",0.1,0.0,0.02,0.31,0.12,0.0,0.46
"[575, 151, 57, 76]",0.1,0.0,0.02,0.33,0.11,0.0,0.44
"[576, 152, 57, 75]",0.11,0.0,0.03,0.33,0.13,0.0,0.39
"[575, 153, 56, 74]",0.07,0.0,0.01,0.19,0.08,0.0,0.65
"[576, 154, 57, 74]",0.11,0.0,0.03,0.32,0.15,0.0,0.38
"[577, 154, 56, 74]",0.11,0.0,0.03,0.33,0.14,0.0,0.38
"[575, 154, 57, 73]",0.09,0.0,0.02,0.22,0.1,0.0,0.57
"[576, 154, 55, 73]",0.08,0.0,0.01,0.24,0.09,0.0,0.58
"[575, 152, 58, 76]",0.11,0.0,0.02,0.34,0.1,0.0,0.43
"[575, 152, 58, 76]",0.1,0.0,0.02,0.35,0.1,0.0,0.43
"[576, 151, 57, 76]",0.07,0.0,0.02,0.45,0.13,0.0,0.32
"[576, 152, 57, 75]",0.1,0.0,0.03,0.35,0.13,0.0,0.38
"[576, 152, 57, 75]",0.1,0.0,0.03,0.36,0.12,0.0,0.39
"[576, 152, 57, 75]",0.1,0.0,0.03,0.36,0.12,0.0,0.39
"[576, 152, 57, 75]",0.09,0.0,0.03,0.37,0.12,0.0,0.39
"[576, 152, 57, 75]",0.09,0.0,0.03,0.38,0.11,0.0,0.38
"[576, 152, 56, 74]",0.17,0.0,0.04,0.16,0.17,0.0,0.47
"[577, 153, 56, 74]",0.09,0.0,0.02,0.52,0.1,0.0,0.28
"[576, 152, 57, 75]",0.09,0.0,0.03,0.39,0.09,0.0,0.39
"[576, 151, 57, 76]",0.1,0.0,0.03,0.39,0.13,0.0,0.36
"[576, 152, 57, 75]",0.09,0.0,0.02,0.44,0.09,0.0,0.35
"[576, 151, 58, 76]",0.1,0.0,0.02,0.37,0.1,0.0,0.41
"[576, 151, 58, 76]",0.11,0.0,0.02,0.36,0.12,0.0,0.39
"[576, 151, 58, 76]",0.11,0.0,0.02,0.33,0.12,0.0,0.43
"[576, 151, 58, 76]",0.11,0.0,0.02,0.32,0.11,0.0,0.44
"[575, 151, 59, 76]",0.1,0.0,0.02,0.34,0.1,0.0,0.44
"[576, 151, 58, 77]",0.08,0.0,0.02,0.51,0.15,0.0,0.25
"[575, 151, 59, 77]",0.08,0.0,0.02,0.3,0.08,0.0,0.52
"[576, 151, 58, 76]",0.09,0.0,0.02,0.38,0.09,0.0,0.43
"[576, 151, 58, 77]",0.1,0.0,0.03,0.39,0.16,0.0,0.32
"[576, 151, 58, 76]",0.09,0.0,0.02,0.4,0.09,0.0,0.41
"[575, 151, 58, 76]",0.07,0.0,0.01,0.24,0.1,0.0,0.57
"[576, 152, 57, 75]",0.09,0.0,0.02,0.28,0.1,0.0,0.51
"[577, 152, 56, 76]",0.1,0.0,0.02,0.33,0.08,0.0,0.48
"[578, 153, 56, 75]",0.13,0.0,0.03,0.45,0.11,0.0,0.28
"[578, 154, 56, 76]",0.14,0.0,0.01,0.38,0.06,0.0,0.41
"[578, 157, 54, 73]",0.09,0.0,0.02,0.31,0.07,0.0,0.51
"[578, 157, 55, 73]",0.05,0.0,0.01,0.47,0.03,0.0,0.44
"[579, 159, 53, 72]",0.08,0.0,0.01,0.43,0.05,0.0,0.43
"[578, 159, 55, 73]",0.12,0.0,0.01,0.26,0.06,0.0,0.55
"[578, 159, 54, 72]",0.06,0.0,0.01,0.36,0.03,0.0,0.55
"[579, 157, 54, 72]",0.04,0.0,0.01,0.67,0.03,0.0,0.26
"[578, 156, 54, 72]",0.03,0.0,0.01,0.7,0.03,0.0,0.24
"[577, 153, 56, 75]",0.02,0.0,0.0,0.82,0.02,0.0,0.14
"[577, 152, 56, 76]",0.03,0.0,0.0,0.72,0.02,0.0,0.22
"[578, 154, 56, 75]",0.03,0.0,0.0,0.83,0.02,0.0,0.12
"[578, 156, 55, 73]",0.02,0.0,0.0,0.82,0.02,0.0,0.13
"[578, 156, 54, 73]",0.03,0.0,0.01,0.77,0.03,0.0,0.16
"[577, 157, 55, 74]",0.03,0.0,0.0,0.73,0.02,0.0,0.22
"[578, 158, 54, 73]",0.02,0.0,0.0,0.86,0.02,0.0,0.1
"[578, 158, 54, 73]",0.02,0.0,0.01,0.84,0.02,0.0,0.11
"[575, 156, 56, 75]",0.03,0.0,0.0,0.81,0.02,0.0,0.13
"[577, 157, 55, 73]",0.02,0.0,0.0,0.89,0.02,0.0,0.06
"[575, 156, 57, 73]",0.04,0.0,0.01,0.75,0.05,0.0,0.15
"[574, 155, 56, 74]",0.04,0.0,0.01,0.74,0.05,0.0,0.16
"[575, 155, 56, 75]",0.07,0.0,0.02,0.74,0.07,0.0,0.1
"[574, 157, 56, 74]",0.04,0.0,0.01,0.81,0.02,0.0,0.12
"[575, 157, 56, 75]",0.04,0.0,0.01,0.85,0.03,0.0,0.07
"[575, 158, 56, 74]",0.04,0.0,0.01,0.8,0.04,0.0,0.11
"[575, 158, 56, 74]",0.04,0.0,0.01,0.79,0.04,0.0,0.12
"[574, 156, 56, 76]",0.04,0.0,0.01,0.79,0.03,0.0,0.13
"[574, 157, 56, 74]",0.05,0.0,0.01,0.7,0.04,0.0,0.19
"[574, 157, 56, 74]",0.06,0.0,0.01,0.67,0.05,0.0,0.21
"[573, 156, 57, 76]",0.04,0.0,0.01,0.82,0.03,0.0,0.1
"[574, 156, 57, 76]",0.06,0.0,0.02,0.75,0.04,0.0,0.13
"[574, 156, 58, 76]",0.08,0.0,0.02,0.7,0.04,0.0,0.16
"[574, 156, 57, 76]",0.08,0.0,0.01,0.69,0.05,0.0,0.17
"[573, 156, 58, 76]",0.05,0.0,0.01,0.65,0.03,0.0,0.25
"[573, 155, 58, 77]",0.05,0.0,0.01,0.74,0.03,0.0,0.16
"[573, 155, 57, 77]",0.05,0.0,0.01,0.73,0.03,0.0,0.18
"[574, 158, 57, 75]",0.06,0.0,0.02,0.52,0.05,0.0,0.36
"[574, 157, 57, 75]",0.06,0.0,0.02,0.63,0.04,0.0,0.26
"[574, 158, 57, 75]",0.06,0.0,0.01,0.51,0.04,0.0,0.37
"[574, 158, 56, 74]",0.04,0.0,0.01,0.66,0.03,0.0,0.26
"[574, 158, 56, 74]",0.04,0.0,0.01,0.67,0.02,0.0,0.27
"[574, 158, 56, 74]",0.04,0.0,0.01,0.67,0.02,0.0,0.26
